int_rate,dti,fico_range_low,revol_util,annual_inc_log,loan_amnt_log,installment,open_acc,pub_rec,delinq_2yrs,credit_history_years,income_to_loan_ratio,installment_to_income,total_interest_burden,sub_grade_freq,emp_stable,revol_bal_log,annual_inc
7.91,12.49,715.0,71.2,11.92504173829169,10.12667110305036,782.38,7.0,0.0,0.0,22.913073237508556,6.04,0.06217589403973509,1977.5,0.051561446865872836,1.0,9.878887435667895,151000.0
9.76,4.42,760.0,9.9,11.449474352389611,9.729193687429403,540.2,2.0,0.0,0.0,7.3319644079397674,5.586369047619048,0.06907118730754068,1639.68,0.06290721186250281,0.0,7.793174347189205,93851.0
13.67,16.73,670.0,33.5,11.097425172408931,9.024131268455035,282.35,8.0,0.0,0.0,32.167008898015055,7.951807228915663,0.05133636363636364,1134.61,0.05571781622107391,0.0,8.166784289056151,66000.0
18.49,31.36,685.0,52.6,11.51293546492023,10.463131911491967,898.13,11.0,0.0,1.0,8.501026694045175,2.857142857142857,0.10777559999999999,6471.5,0.013143113906987193,1.0,9.04499391938819,100000.0
13.18,26.98,675.0,61.2,10.819798284210286,9.680406499268875,540.5,25.0,1.0,0.0,13.333333333333334,3.125,0.12972,2108.8,0.05088744102448888,0.0,10.185088673421907,50000.0
6.49,15.74,710.0,26.9,10.645448706505872,8.853808274977197,214.52,10.0,0.0,0.0,31.247091033538673,6.0,0.06129142857142857,454.3,0.03257694900022467,1.0,8.28374674710613,42000.0
7.89,14.52,780.0,10.1,10.239995502805316,9.15915233520675,297.22,5.0,0.0,0.0,32.668035592060235,2.9473684210526314,0.12738,749.55,0.051561446865872836,1.0,8.553525120663627,28000.0
9.76,6.31,705.0,53.7,11.211833885608513,9.392745258631441,253.55,11.0,0.0,0.0,12.58590006844627,6.166666666666667,0.041116216216216216,1171.2,0.06290721186250281,0.0,9.788581624034771,74000.0
7.91,13.74,665.0,70.6,11.542493975902508,9.210440366976517,312.95,12.0,0.0,4.0,22.666666666666668,10.3,0.03646019417475728,791.0,0.051561446865872836,0.0,9.539859923169542,103000.0
13.99,12.55,665.0,88.8,12.25486757159303,8.699681400989514,205.04,9.0,0.0,0.0,6.584531143052704,35.0,0.011716571428571429,839.4,0.05571781622107391,1.0,10.67069806139613,210000.0
15.41,38.5699,675.0,41.6,10.491301994830229,8.955577146281511,270.22,16.0,2.0,1.0,10.913073237508556,4.645161290322581,0.09007333333333334,1194.275,0.03538530667265783,0.0,8.455104999102815,36000.0
17.27,6.39,680.0,69.3,11.736077016252437,8.699681400989514,214.73,7.0,0.0,1.0,11.498973305954825,20.833333333333332,0.02061408,1036.2,0.02460121321051449,1.0,7.876638460975463,125000.0
13.99,35.59,710.0,56.0,10.757924157061597,7.783640596221253,82.02,13.0,0.0,0.0,15.915126625598905,19.583333333333332,0.02094127659574468,335.76,0.05571781622107391,1.0,9.988701481750608,47000.0
9.8,15.97,685.0,36.1,11.51293546492023,9.546884034617925,450.43,7.0,0.0,0.0,17.998631074606433,7.142857142857143,0.0540516,1372.0,0.06290721186250281,0.0,10.441471040344437,100000.0
9.8,23.84,785.0,13.4,11.082157933374816,9.392745258631441,253.79,18.0,0.0,0.0,12.082135523613964,5.416666666666667,0.04685353846153846,1176.0000000000002,0.06290721186250281,1.0,9.18881025342582,65000.0
15.77,7.7,750.0,5.0,11.695255355062795,9.392745258631441,420.53,28.0,0.0,0.0,20.66803559206023,10.0,0.042053,1892.4,0.03538530667265783,1.0,8.312626025674962,120000.0
27.99,17.44,660.0,40.6,10.714439990727769,9.748353055586138,533.1,30.0,1.0,0.0,7.665982203969883,2.627737226277372,0.14216,4793.2875,0.0005616715344866322,0.0,9.56640512978922,45000.0
7.91,12.5,775.0,41.8,11.31813853725963,10.167811434160654,527.08,11.0,0.0,0.0,17.752224503764545,3.159309021113244,0.07685249088699879,2060.555,0.051561446865872836,1.0,10.099054336080103,82300.0
9.17,3.18,795.0,29.2,11.635151947212842,9.220389707829185,210.5,4.0,0.0,0.0,21.585215605749486,11.188118811881187,0.022353982300884957,926.17,0.0636935520107841,0.0,8.449342524508063,113000.0
13.44,21.39,675.0,87.4,9.72483924110847,7.824445930877619,84.77,5.0,0.0,0.0,17.998631074606433,6.6908,0.060814252406289224,336.0,0.05088744102448888,0.0,7.689828668736484,16727.0
